First Name,Last Name,Salary,Position,Team,Opponent,Line,Projection
A.J. Pollock,13417,4900,1B,ARI,SDP,2,9.98
Adam Jones,10551,3500,1B,BAL,MIN,9,7.82
Adrian Beltre,10430,3700,C,TEX,DET,4,1
Albert Pujols,10322,3700,C,LAA,SEA,3,2
Alen Hanson,16161,3800,2B,SFG,STL,8,7.11
Alex Bregman,35330,5500,C/3B,HOU,CHW,1,20
Andrelton Simmons,13484,3700,OF,LAA,SEA,1,7.78
Andrew McCutchen,10517,4000,C,SFG,STL,6,1
Anthony Rendon,14613,4800,3B,WAS,MIA,6,1
Austin Hedges,15943,2800,OF,SDP,ARI,4,4.95
Avisail Garcia,13552,3600,2B,CHW,HOU,9,6.97
Ben Gamel,16264,3200,OF,SEA,LAA,3,5.39
Bobby Wilson,10311,2700,OF,MIN,BAL,5,4.73
Brandon Belt,10344,4700,OF,SFG,STL,5,8.23
Brandon Crawford,11266,4500,3B,SFG,STL,9,1
Brian Anderson,36571,3600,C,MIA,WAS,2,1
Brian Dozier,13440,4200,OF,MIN,BAL,7,9.1
Bryce Harper,13392,5400,C,WAS,MIA,3,1
Buster Posey,10262,4200,1B,SFG,STL,7,7.51
Caleb Joseph,14927,2700,C,BAL,MIN,7,1
Cameron Maybin,10573,2900,1B,MIA,WAS,3,6.93
Carlos Asuaje,35721,2900,2B,SDP,ARI,1,6.52
Chris Davis,18804,3000,2B,BAL,MIN,1,7.69
Chris Herrmann,13773,2700,OF,SEA,LAA,4,5.32
Christian Yelich,15181,4900,OF,MIL,ATL,9,8.03
Cory Spangenberg,15226,3400,3B,SDP,ARI,2,1
Daniel Murphy,10365,4300,OF,WAS,MIA,8,7.73
Daniel Palka,36198,3000,OF,CHW,HOU,5,5.18
Danny Valencia,10442,3600,OF,BAL,MIN,5,6.89
Dansby Swanson,35650,3500,OF,ATL,MIL,7,6.22
David Fletcher,385035,3200,1B,LAA,SEA,4,6.97
Dee Gordon,11305,3700,3B,SEA,LAA,1,1
Delino DeShields,18790,3800,1B,TEX,DET,5,8.51
Denard Span,10541,3800,SS,SEA,LAA,2,6.64
Derek Dietrich,14641,3700,OF,MIA,WAS,1,8.31
Eddie Rosario,15912,5100,OF,MIN,BAL,6,10.05
Eduardo Escobar,11507,4400,C,MIN,BAL,9,1
Elvis Andrus,10476,3800,OF,TEX,DET,3,8.76
Ender Inciarte,15422,4300,2B,ATL,MIL,2,7.89
Eric Hosmer,11184,3800,OF,SDP,ARI,6,7.78
Erik Kratz,13277,3200,3B,MIL,ATL,4,1
Evan Gattis,14547,4100,OF,HOU,CHW,2,8.4
Freddie Freeman,10345,5300,C,ATL,MIL,9,1
Freddy Galvis,13388,2900,SS,SDP,ARI,3,5.59
George Springer,15035,4800,SS,HOU,CHW,9,9.61
Gorkys Hernandez,13505,3700,OF,SFG,STL,3,5.57
Harrison Bader,37410,3400,SS,STL,SFG,9,5.87
Hernan Perez,14703,3300,1B,MIL,ATL,2,7.12
Hunter Renfroe,17857,3700,1B,SDP,ARI,9,6.67
Ian Kinsler,10371,3500,OF,LAA,SEA,2,7.64
Isiah Kiner-Falefa,38009,3500,OF,TEX,DET,1,6.15
J.T. Realmuto,18004,4700,OF,MIA,WAS,8,9.44
Jake Cave,17731,3000,SS,MIN,BAL,4,6.14
Jake Lamb,16087,4400,SS/2B,ARI,SDP,5,20
Jake Marisnick,15122,3000,2B,HOU,CHW,6,6.34
Jean Segura,13516,4700,1B,SEA,LAA,8,7.69
Jedd Gyorko,14540,3400,3B,STL,SFG,8,1
Jefry Marte,15030,3300,3B/2B,LAA,SEA,6,1
Jesus Aguilar,15886,5100,OF,MIL,ATL,7,8.97
Jim Adduci,18017,3100,C,DET,TEX,5,1
Joe Mauer,10260,3900,1B,MIN,BAL,1,1
Joe Panik,14880,3500,SS,SFG,STL,1,6.06
Joey Gallo,16199,3900,2B,TEX,DET,6,8.3
Johan Camargo,36167,3700,OF,ATL,MIL,6,6.69
John Hicks,15359,3300,SS,DET,TEX,1,7.85
John Ryan Murphy,18414,3900,OF,ARI,SDP,8,6.73
Jon Jay,10610,3600,OF,ARI,SDP,6,7.24
Jonathan Schoop,15625,3300,OF,BAL,MIN,4,6.91
Jonathan Villar,14916,3400,C,MIL,ATL,1,1
Jorge Polanco,15820,3000,3B,MIN,BAL,3,1
Jose Abreu,17437,4000,1B,CHW,HOU,8,7.29
Jose Altuve,11406,5200,3B,HOU,CHW,8,1
Jose Iglesias,11198,3200,1B/C,DET,TEX,6,1
Josh Reddick,11267,3600,1B,HOU,CHW,5,6.78
Juan Soto,326703,4600,1B,WAS,MIA,4,9.53
Jurickson Profar,13551,3900,OF,TEX,DET,9,6.87
Justin Bour,15657,3500,OF,MIA,WAS,9,9.12
Justin Upton,10554,4700,OF,LAA,SEA,9,9.27
Keon Broxton,14765,3800,2B/OF,MIL,ATL,3,6.79
Ketel Marte,15782,3700,OF,ARI,SDP,7,6.96
Kole Calhoun,13472,3200,2B,LAA,SEA,5,6.23
Kolten Wong,15191,2900,OF,STL,SFG,2,5.58
Kyle Seager,11373,3800,C,SEA,LAA,7,1
Leury Garcia,14562,3000,C,CHW,HOU,6,1
Logan Morrison,10528,3500,OF,MIN,BAL,8,8.63
Manny Machado,13534,5300,C,BAL,MIN,8,1
Marcell Ozuna,14629,3700,C,STL,SFG,5,1
Mark Trumbo,10335,4100,3B/OF,BAL,MIN,2,1
Martin Maldonado,11487,3000,SS,LAA,SEA,7,5.6
Martin Prado,10374,2800,2B/1B,MIA,WAS,4,1
Matt Adams,13466,3800,SS,WAS,MIA,7,8.93
Matt Carpenter,11296,4600,1B,STL,SFG,6,7.5
Matt Davidson,14786,3500,SS/3B,CHW,HOU,2,1
Max Kepler,15798,3400,2B,MIN,BAL,2,7.58
Max Stassi,15207,3600,3B/SS,HOU,CHW,7,1
Michael Taylor,11510,3800,OF,WAS,MIA,9,7.41
Miguel Rojas,16128,2900,3B,MIA,WAS,5,1
Mike Trout,11380,6000,SS,LAA,SEA,8,11.88
Mikie Mahtook,16312,3200,3B,DET,TEX,9,1
Mitch Haniger,16289,4600,OF,SEA,LAA,6,8.78
Nelson Cruz,10512,5100,OF,SEA,LAA,5,10.19
Nick Ahmed,15528,3300,3B,ARI,SDP,4,1
Nick Castellanos,14698,5000,2B,DET,TEX,8,9.57
Nick Markakis,10533,4800,3B,ATL,MIL,3,1
